Item,Reference,Estimate
1034722 Scorpio - Ali Ba-Ba (Original Mix).jams,85,170
103857 Hatstandy Andy - Emerge And See (Dysfunktional Mix).jams,109,136
1059355 Barbara Lahr - Pretty Bird (Original Mix).jams,150,75
1127447 Code 3 - Living Proof (Original Mix).jams,85,171
1205438 Contract Killers - Therapy (Original Mix).jams,88,176
"1372384 Oso, Kid Of Darkroom Familia - Living Dead (Original Mix).jams",158,79
1393305 Zoom - Five To Eleven (Original Mix).jams,140,70
1569491 Flunk - See Through You (Original Mix).jams,153,76
1868905 Tayce - Ghost House (Original Mix).jams,116,174
1883395 Mind Killa - Open Aggression (Original Mix).jams,117,176
203541 Drumsound & Bassline Smith - Dub Track (Original Mix).jams,86,172
2047805 The Noble Six - Forbidden Kingdom (TwoThirds Remix).jams,119,177
2076953 Dom & Roland - Electric Smile (Original Mix).jams,86,173
2090586 Kuana - Steppin' (Kouncilhouse Remix).jams,89,179
209357 DJ Zinc - Toothbrush (Remix).jams,87,174
"2446138 Lucas, Reign - Reign (Original Mix).jams",140,70
297013 Daniel Ibbotson - Stumble (John Tejada Mix).jams,66,132
297030 Percy X - Vox Digital (Original Mix).jams,93,140
"297131 Maas - Look At Me Now, Falling (Zoyd and Prairie Mix).jams",151,75
297811 Polyharmonique - Piango Gemo (Original Mix).jams,84,168
298860 Soul Mozaics - Word Up (Original Mix).jams,89,179
299464 Quarks - Dunkeln (Jamie Hodge Mix).jams,105,157
299491 Barbara Morgenstern - Eine Verabredung (Original Mix).jams,102,153
299509 Barbara Morgenstern - Eine Verabredung (Original Mix).jams,102,153
299801 Agnes (ch) - Anger Therapy (Original Mix).jams,121,90
299968 DJ Nasty - U Scared (Original Mix).jams,80,160
3116337 Speh - Reaching You (Original Mix).jams,116,174
"3124420 Marco Del Horno, DJ Swerve - Just Rewind feat. Blacks, Lady Chann (Original Mix).jams",70,140
3139360 Mindscape - Drive By (Original Mix).jams,86,172
3154894 nCamargo - Closer To Yo (Original Mix).jams,116,174
3218510 Knife - I Am The Boss (Original Mix).jams,140,70
3445831 Evil Needle - Angel (Original Mix).jams,120,60
3520807 Fresh Daily - Diamonds feat. Chris Faust (Original Mix).jams,188,96
"3527620 Paimon, Place 2B - Quite (Original Mix).jams",86,173
"3727019 Yann Novak, Marc Manning - Pairing 2 pt. 1 (Original Mix).jams",128,30
3743797 Limonene - Infinity (Original Mix).jams,100,155
384265 Sub Focus - Bluenote (Original Mix).jams,87,174
3937649 Akira As Astronaughty - You Dont Know Me (DTX Remix).jams,87,174
3968158 Yagura - The Geofront (Original Mix).jams,80,160
"402978 Kryptic Minds, Leon Switch - Simple To Lose (Original Mix).jams",87,174
4164104 Da Youngfellaz - Cruisin (feat. K-Quick) (Original Mix).jams,158,79
4188354 E.S.G. - Two Glocks Two Hoes (Original Mix).jams,170,85
"4188360 Haze, True Facts - Fresh (Original Mix).jams",140,70
4503715 Hedlok - Ryddym Of The Night (Original Mix).jams,140,70
451169 Rob Jackson - My Crew (Original Mix).jams,170,85
4572120 Zoomorfos - Acid Rain (Original Mix).jams,107,160
4623197 Lou Bega - Mambo No. 5 (A Little Bit Of...) [Re-Recorded] (Original Mix).jams,87,174
"4630401 PIXL, Dead Robot - Dream Of You (Original Mix).jams",84,168
466208 Kobain - K.O. Bain (Original Mix).jams,84,166
4805277 Antent - Truth (VIP Trap Mix).jams,140,70
4870279 Chop Black - Aggressive (Original Mix).jams,195,98
"489613 Molemen, PNS - No Axe (Instrumental).jams",85,169
497517 Rufige Kru - Vip Riders Chost (The Origin) (Original Mix).jams,111,166
515806 Canelason - Hommes De Passage (Original Mix).jams,164,82
5330075 GroYen - Quietude (Original Mix).jams,140,70
5427061 Fred V & Grafix - Forest Fires feat. Etherwood (Original Mix).jams,87,174
5492171 DT - Impulse (Original Mix).jams,93,70
5545112 Candide - Lost in the Sun (Original Mix).jams,154,77
5622199 Item - Meltdown (Original Mix).jams,116,173
5693285 Daisy Chain - Armies (Original Mix).jams,140,70
588558 Thes One - Montage Minnesota (Original Mix).jams,174,90
5956160 Wrexial - Downlifts (Original Mix).jams,87,152
5986917 Peter Pearson - Soft Blue (Original Mix).jams,132,66
6280855 Soultec - Creation (Original Mix).jams,88,175
6476511 Gucci Mane & Rocko - Wrong Man (Original Mix).jams,156,78
673637 Fleur Earth - Hundesohn (Original Mix).jams,143,72
"687544 Otisto 23, Laurent de Wilde, Dual Snake - Compa (Dual Snake Remix).jams",68,134
787388 Nitrous - Cubik (Original Mix).jams,119,179
940966 Redeyes - Cruise Ship To The Stars (Chris Su Remix).jams,86,173
967034 Cause4Concern - Peep Show (Original Mix).jams,88,110
987207 Puppy Kicker - Everyone's Happy (Original Mix).jams,68,136
