T (BPM),beatport_key/1.0
0.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
6.0,1.0
7.0,1.0
8.0,1.0
9.0,1.0
10.0,1.0
11.0,1.0
12.0,1.0
13.0,1.0
14.0,1.0
15.0,1.0
16.0,1.0
17.0,1.0
18.0,1.0
19.0,1.0
20.0,1.0
21.0,1.0
22.0,1.0
23.0,1.0
24.0,1.0
25.0,1.0
26.0,1.0
27.0,1.0
28.0,1.0
29.0,1.0
30.0,1.0
31.0,1.0
32.0,1.0
33.0,1.0
34.0,1.0
35.0,1.0
36.0,1.0
37.0,1.0
38.0,1.0
39.0,1.0
40.0,1.0
41.0,1.0
42.0,1.0
43.0,1.0
44.0,1.0
45.0,1.0
46.0,1.0
47.0,1.0
48.0,1.0
49.0,1.0
50.0,1.0
51.0,1.0
52.0,1.0
53.0,1.0
54.0,1.0
55.0,1.0
56.0,1.0
57.0,1.0
58.0,1.0
59.0,1.0
60.0,1.0
61.0,1.0
62.0,1.0
63.0,1.0
64.0,1.0
65.0,1.0
66.0,1.0
67.0,1.0
68.0,1.0
69.0,1.0
70.0,1.0
71.0,1.0
72.0,1.0
73.0,1.0
74.0,1.0
75.0,0.9444444444444444
76.0,0.9166666666666666
77.0,0.8709677419354839
78.0,0.8611111111111112
79.0,0.8205128205128205
80.0,0.86
81.0,0.8571428571428571
82.0,0.875
83.0,0.847457627118644
84.0,0.8524590163934426
85.0,0.8615384615384616
86.0,0.8636363636363636
87.0,0.8636363636363636
88.0,0.8676470588235294
89.0,0.8695652173913043
90.0,0.8648648648648649
91.0,0.8648648648648649
92.0,0.8461538461538461
93.0,0.8441558441558441
94.0,0.85
95.0,0.8414634146341463
96.0,0.8461538461538461
97.0,0.84
98.0,0.855072463768116
99.0,0.8461538461538461
100.0,0.8688524590163934
101.0,0.8421052631578947
102.0,0.8448275862068966
103.0,0.8301886792452831
104.0,0.8461538461538461
105.0,0.8596491228070176
106.0,0.7966101694915254
107.0,0.7936507936507936
108.0,0.803030303030303
109.0,0.7727272727272727
110.0,0.8484848484848485
111.0,0.8541666666666666
112.0,0.8679245283018868
113.0,0.9016393442622951
114.0,0.9172413793103448
115.0,0.9293478260869565
116.0,0.9372197309417041
117.0,0.9427480916030534
118.0,0.9618528610354223
119.0,0.9634464751958225
120.0,0.9689737470167065
121.0,0.9694117647058823
122.0,0.9718969555035128
123.0,0.9722863741339491
124.0,0.972972972972973
125.0,0.975929978118162
126.0,0.9700214132762313
127.0,0.978448275862069
128.0,0.9810126582278481
129.0,0.9810126582278481
130.0,0.9867674858223062
131.0,0.9859154929577465
132.0,0.9864603481624759
133.0,0.9863013698630136
134.0,0.9859719438877755
135.0,0.9857723577235772
136.0,0.9866962305986696
137.0,0.9902200488997555
138.0,0.9919786096256684
139.0,0.9887640449438202
140.0,0.9886363636363636
141.0,0.9868421052631579
142.0,0.9864864864864865
143.0,0.985981308411215
144.0,0.9855769230769231
145.0,0.9846153846153847
146.0,0.9834254143646409
147.0,1.0
148.0,1.0
149.0,1.0
150.0,1.0
151.0,1.0
152.0,1.0
153.0,1.0
154.0,1.0
155.0,1.0
156.0,1.0
157.0,1.0
158.0,1.0
159.0,1.0
160.0,1.0
161.0,1.0
162.0,1.0
163.0,1.0
164.0,1.0
165.0,0.95
166.0,0.95
167.0,0.9473684210526315
168.0,0.9473684210526315
169.0,0.9333333333333333
170.0,0.9333333333333333
171.0,0.9285714285714286
172.0,0.9285714285714286
173.0,0.9285714285714286
174.0,0.9285714285714286
175.0,0.9166666666666666
176.0,0.9
177.0,0.9
178.0,0.9090909090909091
179.0,0.9090909090909091
180.0,0.9
181.0,0.8571428571428571
182.0,0.8571428571428571
183.0,0.8571428571428571
184.0,0.8571428571428571
185.0,0.8333333333333334
186.0,1.0
187.0,1.0
188.0,1.0
189.0,1.0
190.0,1.0
191.0,1.0
192.0,1.0
193.0,1.0
194.0,1.0
195.0,1.0
196.0,1.0
197.0,1.0
198.0,1.0
199.0,1.0
200.0,1.0
201.0,1.0
202.0,1.0
203.0,1.0
204.0,1.0
205.0,1.0
206.0,1.0
207.0,1.0
208.0,1.0
209.0,1.0
210.0,1.0
211.0,1.0
212.0,1.0
213.0,1.0
214.0,1.0
215.0,1.0
216.0,1.0
217.0,1.0
218.0,1.0
219.0,1.0
220.0,1.0
221.0,1.0
222.0,1.0
223.0,1.0
224.0,1.0
225.0,1.0
226.0,1.0
227.0,1.0
228.0,1.0
229.0,1.0
230.0,1.0
231.0,1.0
232.0,1.0
233.0,1.0
234.0,1.0
235.0,1.0
236.0,1.0
237.0,1.0
238.0,1.0
239.0,1.0
240.0,1.0
241.0,1.0
242.0,1.0
243.0,1.0
244.0,1.0
245.0,1.0
246.0,1.0
247.0,1.0
248.0,1.0
249.0,1.0
250.0,1.0
251.0,1.0
252.0,1.0
253.0,1.0
254.0,1.0
255.0,1.0
256.0,1.0
257.0,1.0
258.0,1.0
259.0,1.0
260.0,1.0
261.0,1.0
262.0,1.0
263.0,1.0
264.0,1.0
265.0,1.0
266.0,1.0
267.0,1.0
268.0,1.0
269.0,1.0
270.0,1.0
271.0,1.0
272.0,1.0
273.0,1.0
274.0,1.0
275.0,1.0
276.0,1.0
277.0,1.0
278.0,1.0
279.0,1.0
280.0,1.0
281.0,1.0
282.0,1.0
283.0,1.0
284.0,1.0
285.0,1.0
286.0,1.0
287.0,1.0
288.0,1.0
289.0,1.0
290.0,1.0
291.0,1.0
292.0,1.0
293.0,1.0
294.0,1.0
295.0,1.0
