T (BPM),beatport_key/1.0
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.0
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.0
56.0,-0.02202630632999891
57.0,-0.02202630632999891
58.0,-0.021591202638377566
59.0,-0.021591202638377566
60.0,-0.016193401978783176
61.0,-0.016193401978783176
62.0,-0.016193401978783176
63.0,-0.016193401978783176
64.0,-0.017338536902166288
65.0,-0.017338536902166288
66.0,-0.017338536902166288
67.0,-0.016204274202178178
68.0,-0.016204274202178178
69.0,-0.016476056091262722
70.0,-0.014995579544036113
71.0,-0.014995579544036113
72.0,-0.01363234504003283
73.0,-0.01363234504003283
74.0,-0.015036213345498333
75.0,-0.015488946681819018
76.0,-0.01231978578488077
77.0,0.0018708142270500792
78.0,-0.0006790381362303423
79.0,-0.0007847053411912862
80.0,-0.003191216624253508
81.0,-0.003256343494136231
82.0,-0.003975537404391824
83.0,-0.01810712681770423
84.0,-0.017766402013346814
85.0,-0.016538868040352483
86.0,-0.016288279130650174
87.0,-0.016288279130650174
88.0,-0.016106201889365044
89.0,-0.016085050789003255
90.0,-0.010120950328690563
91.0,-0.010069706359323137
92.0,-0.020437870867252975
93.0,-0.02070329776163288
94.0,-0.02010116398254507
95.0,-0.019377552753440018
96.0,-0.019495708619824564
97.0,-0.025524554160912663
98.0,-0.032550512400204956
99.0,-0.02853713029842142
100.0,-0.029606689055903128
101.0,-0.030567218835633462
102.0,-0.03004019782122599
103.0,-0.03216811869647185
104.0,-0.016767902981999126
105.0,-0.01568949166374121
106.0,-0.03715595370151199
107.0,-0.0349934125848419
108.0,-0.03358883822156782
109.0,-0.04627143196553953
110.0,-0.03240694329261876
111.0,-0.03736297033755472
112.0,-0.033814754336947875
113.0,-0.023579461606368025
114.0,-0.02161168294499915
115.0,-0.018530144176003703
116.0,-0.016237816969694334
117.0,-0.014865448483877178
118.0,-0.010666317500942274
119.0,-0.010484553059151702
120.0,-0.011919568276683182
121.0,-0.01190736526819818
122.0,-0.011827178135742415
123.0,-0.011738729820762631
124.0,-0.011633534867659643
125.0,-0.011439088130509268
126.0,-0.011432386689715107
127.0,-0.008689021936524342
128.0,-0.008700941333898494
129.0,-0.008718989650590982
130.0,-0.006858457374617952
131.0,-0.007001289677811873
132.0,-0.006227595323375014
133.0,-0.006356731019552681
134.0,-0.006367413207059391
135.0,-0.006219749429454001
136.0,-0.0061646130728132435
137.0,-0.006227462135254818
138.0,-0.006182999406298337
139.0,-0.007085452451057178
140.0,-0.007003035967516212
141.0,-0.005211857588825576
142.0,-0.005053929726118274
143.0,-0.005030734295992089
144.0,-0.005063994658251672
145.0,-0.004847401740259073
146.0,-0.004858764125895694
147.0,-0.004453505414597573
148.0,-0.004801678858530678
149.0,-0.004579391322730249
150.0,-0.0017186597547778329
151.0,0.001261860494926149
152.0,0.0015300045867576214
153.0,-0.0014662805967259824
154.0,0.005931011208015746
155.0,0.007599337635187267
156.0,0.014663300937341485
