Item,beatport_key/1.0
100066 Lindstrom - Monsteer (Original Mix).jams,0.0
1017875 JT Donaldson - UCFWM (Original Mix).jams,0.011404763272249362
1019403 Penta - Butter (Original Mix).jams,0.0
1034722 Scorpio - Ali Ba-Ba (Original Mix).jams,0.017073513358941406
10359 Oliver Klein - RheinKraft (Ian Wilkie Remix).jams,0.010806754956582863
"1038248 Geck-O, Sinith - Full Force (Full Mix).jams",0.009781020792585447
103857 Hatstandy Andy - Emerge And See (Dysfunktional Mix).jams,0.30863127227390447
1051007 D-Flected - Sombre (Original Mix).jams,0.0
1056047 Leroy Hanghofer - Bathroomboogie (Chloe Remix).jams,0.0
1059355 Barbara Lahr - Pretty Bird (Original Mix).jams,0.0
1072514 Luciano Pardini - Primata (Original Mix).jams,0.011140557605200349
108844 Jason Sparks - Gangsters (Si Begg Remix).jams,0.010726406593058475
"1093726 D-Lux, Jonez - Wahaha (Bangboy Booty Remix).jams",0.0
110504 Musica Charlista - Juan Y Alex (Original Mix).jams,0.0
11077 Billy Paul Williams - Winter Heat (Original Mix).jams,0.01449956969511509
1115626 DJ U-Cef - Starlight (DJ Fays Remix).jams,0.011587974275211846
11194 Alek Biotic - Funk Matter (Original Mix).jams,0.0
1127447 Code 3 - Living Proof (Original Mix).jams,0.017073513358941406
1144674 Robbie Rivera - Escape (Jochen Pash & Norm Remix).jams,0.011587974275211846
1152124 Gabriel & Castellon - Afrodisium (Groovenatics Remix).jams,0.011315313227834146
1152770 Paul Tarrant - Sunset Serenade (Audien Remix).jams,0.011140557605200349
1163534 Nate Mars - Higher To The Bass (Original Mix).jams,0.0
"1167965 D-Rashid, Oliver Twizt - One Dos Tres Quattro (Official LatinVillage Theme) (Original Mix).jams",0.0
1177887 Kym Ayres - Killer (Original Mix).jams,0.009984088572622125
"1187324 Mr. B, Cragga - Little Acid People (Cragga Remix).jams",0.0
119077 Doctor Rockit - Cafe De Flore (Original Mix).jams,0.01393919095787373
119467 TTC - Catalogue (Instrumental).jams,0.015767315858316675
1196189 JP & Jukesy - Nowhere To Hide (Ilogik & Paul Janes Remix).jams,0.009715154833211776
1205438 Contract Killers - Therapy (Original Mix).jams,0.01648812278856894
"1258142 Brooklyn Bounce - Bass, Beats & Melody Reloaded! (DJ Space Raven Remix).jams",0.010341944221458989
125918 Leafcutter John - In the Morning (Original Mix).jams,0.012072832300574972
1261783 Mark Krupp - Belong With Me (Original Mix).jams,0.010726406593058475
1262462 Soul Cube - Phantom Menace (Original Mix).jams,0.0161196653632769
1267809 Nobody - Hip$ters (Original Mix).jams,0.016873818564396213
1270235 Aquazoo Project - When The Sun Goes Down (iZaiah Remix).jams,0.0
1276072 Excessive Force - To Death (Original Mix).jams,0.0
1290726 Boduf Songs - They Get On Slowly (Original Mix).jams,0.01837852931485452
1298557 Randy Katana - You & I (Original Mix).jams,0.011140557605200349
1298600 Lunarsea - The Woodhouse (Original Mix).jams,0.0
1312884 Mindblast - This Is Our Summer feat. AcoB (Original Mix).jams,0.0
"131427 K. Wild, DJ Funsko - Can't Stop Me Now (DJ Funsko's Tribal House Dub Remix).jams",0.0
1320423 Jon Kwest - Raw Core (Xphouriah & Shugadadde Remix).jams,0.010341944221458989
1320553 Carl Nicholson - All Aboard (Original Mix).jams,0.020464102559715577
"132143 Snake Sedrick, Emze Hack - The Beginning (Original Mix).jams",0.0
1321948 Elektrikall - Ilogical Theory (Original Mix).jams,0.0
1338256 Kenjo - Night View (Original Mix).jams,0.0
1342043 Klubfiller - Fuck Your System (Original Mix).jams,0.019365324866931058
1350891 Luvraw & BTB - Nobody (Original Mix).jams,0.0
"1352419 Jeronimo, Dragmatic - Funky Love (Dragmatic Remix).jams",0.011404763272249362
135302 Smoke Chamberlain - Nikki (Original Mix).jams,0.0
1362355 Broady Champs - Hard!!!!!!!!! (Original Mix).jams,0.01630181232910054
"1372384 Oso, Kid Of Darkroom Familia - Living Dead (Original Mix).jams",0.01837852931485452
138819 Amon Tobin - Escape (Original Mix).jams,0.008770209627732149
1389267 Cell Auto Mata - Ign558 (Original Mix).jams,0.010341944221458989
1393305 Zoom - Five To Eleven (Original Mix).jams,0.010341944221458989
1398692 Phantom Lord - Stay Puft (XUL Mix).jams,0.0
1429124 Fresh Foolish - Fidgerator feat. A Girl & A Gun (Super Pixel! Remix).jams,0.0
14344 Oliver Prime - Velvet Sunshine (Original Mix).jams,0.010726406593058475
1435514 Marco Resmann - Diary No. 1 (Continuous DJ Mix).jams,0.011681805047635323
1446566 J.Rabbit - Too Much Sexy (Original Mix).jams,0.010341944221458989
144851 JDS - Blackout (Original Mix).jams,0.010806754956582863
"1453434 Jammer, J Da Flex - Knucklin' (Original Mix).jams",0.0
1456345 R.E.D. - Discodelic (Original Mix).jams,0.01122725542325414
1460099 Paul Edge - Super Fantastic Easy Sex (Le Grand Gazou X-Rated Sex Mix).jams,0.010341944221458989
1461499 Soul Conspiracy - Geezer (Original Mix).jams,0.0
1474885 Telepatic - Alcion (Original Mix).jams,0.0
1492875 Rockstah - Nerdrevolution (Original Mix).jams,0.0
1507482 PNC - Who Betta Than This? (Album Version).jams,0.0
150864 Kluster - Lava (Original Mix).jams,0.0
1541713 i-zaq - Joker (Original Mix).jams,0.009781020792585447
1545117 Mando Soria - Mictlan (Original Mix).jams,0.011495638837829386
1569491 Flunk - See Through You (Original Mix).jams,0.009460329249066245
"1586496 Monica X, Soraya Naoyin - The Spanish Girl On Top (Radio Edit).jams",0.011140557605200349
1598083 Aimee B - Kadabra (Original Mix).jams,0.010492373817642385
1599632 Bart Claessen - Elf (Original Mix Edit).jams,0.010806754956582863
1607693 Ivory - Hand Grenade (Datsik & Excision Remix).jams,0.010341944221458989
1622037 Transcend - Transcending The Concept (Original Mix).jams,0.009847785956347178
1622038 Kickin Devil - Candyman (Jump Mix Radio Edit).jams,0.010124217273707334
1627499 Oliver Gil - Kaleido (Original Mix).jams,0.011404763272249362
1642729 Ted Dettman - Together (Original Mix).jams,0.0
16484 Kinder Atom - Slow Back (Original Mix).jams,0.015767315858316675
1660225 Marian Deckman - iFlash (Original Mix).jams,0.011315313227834146
1662838 AudioFun - Sensor (Original Mix).jams,0.0
"1681314 Alex Moran, LHK - By Way Of B (Original Mix).jams",0.011681805047635323
168304 Sam Rouanet - Tsuno (Original Mix).jams,0.0
168450 Mumbo Jumbo - Mirage (Original Mix).jams,0.010053664663922912
1716212 Diddy - Give Me Love (Burger Queen Babushka Mix).jams,0.010806754956582863
174074 Boards Of Canada - Satellite Anthem Icarus (Original Mix).jams,0.0
1740984 Akvo - Changeling (Original Mix).jams,0.011777167776353662
1746583 Nowak - See The Future Inside (Radio Edit).jams,0.010341944221458989
175197 Wild Planet - 15 Love (Original Mix).jams,0.0
1758691 Deeplook - Save The Children (Original Mix).jams,0.010195767105888494
1759353 Odd Sequence - Hypnotic (Original Mix).jams,0.0
1777396 Munchi - Murda Sound VIP (Original Mix).jams,0.010726406593058475
1781925 Enea DJ - Seduce Me (Original Mix).jams,0.0
1783835 Miss Destiny - Right Here Waiting feat. DJ Fait (Destiny Mix).jams,0.0
"178770 Martin Brodin, Klement Bonelli - From Malmoe To Bremen (Original Mix).jams",0.0
1795965 Calvertron - Like Dis (Original Mix).jams,0.011315313227834146
180779 DJ Trajic - Underground (Original Mix).jams,0.010806754956582863
181659 Laurent Garnier - Flashback (Video Mix).jams,0.0
1848401 Signal Deluxe - Harmonography (Original Mix).jams,0.0161196653632769
"1854407 The Clubjock, DJ Peter G - Play The Game (Basic Melody Mix).jams",0.010726406593058475
1857841 Luap - Taiko Tympani (Original Mix).jams,0.009984088572622125
1860990 One Project DJ - Glassss (Original Mix).jams,0.02272007650008353
1868905 Tayce - Ghost House (Original Mix).jams,0.4150374992788438
1883395 Mind Killa - Open Aggression (Original Mix).jams,0.012383724455832358
189045 The Havana Boys - You're My Honey (Fellmann & Louise Remix).jams,0.0
1896153 DoubKore - Never Forever (Original Mix).jams,0.0
18975 The Askew - Invisible (D-Formation Remix).jams,0.0
190288 Central Avenue - For Only You feat. Ov (Hard Mix Vocal Latin Mix).jams,0.011587974275211846
1905079 Starsystem - The Vibes (Simon Faz Ibiza Dub Mix).jams,0.0
"1918063 Andy Whitby, Technikal - Rumble (Original Mix).jams",0.019365324866931058
